Player,Country,Span,Matches,Innings,BallsBowled,RunsConceded,Wickets,BowlingAverage,EconomyRate,StrikeRate,5WicketsPerInnings
IG Butler (NZ),New Zealand,2002-2010,26,25,1109,1038,28,37.07,5.61,39.6,0
WW Hinds (WI),West Indies,1999-2010,119,34,945,837,28,29.89,5.31,33.7,0
Hamid Hassan (Afg),Afghanistan,2009-2013,16,16,788,607,27,22.48,4.62,29.1,0
PJ Martin (Eng),England,1995-1998,20,20,1048,806,27,29.85,4.61,38.8,0
AY Karim (Kenya),Kenya,1996-2003,34,33,1568,1114,27,41.25,4.26,58,1
AJ McKay (NZ),New Zealand,2010-2012,19,19,926,800,27,29.62,5.18,34.2,0
Ata-ur-Rehman (Pak),Pakistan,1992-1996,30,30,1492,1186,27,43.92,4.76,55.2,0
R McLaren (SA),South Africa,2009-2013,21,20,940,791,27,29.29,5.04,34.8,0
JP Duminy (SA),South Africa,2004-2012,94,53,1234,1032,27,38.22,5.01,45.7,0
RAP Nissanka (SL),Sri Lanka,2001-2003,23,23,997,857,27,31.74,5.15,36.9,0
PW Gunaratne (SL),Sri Lanka,2002-2003,23,23,959,908,27,33.62,5.68,35.5,0
PH Edmonds (Eng),England,1977-1987,29,27,1534,965,26,37.11,3.77,59,0
AP Gurusinha (SL),Sri Lanka,1985-1996,147,55,1585,1354,26,52.07,5.12,60.9,0
TL Best (WI),West Indies,2004-2013,20,20,1000,859,26,33.03,5.15,38.4,0
T Panyangara (Zim),Zimbabwe,2004-2011,25,25,1131,1049,26,40.34,5.56,43.5,0
G Miller (Eng),England,1977-1984,25,24,1268,813,25,32.52,3.84,50.7,0
K Srikkanth (India),India,1981-1992,146,33,712,641,25,25.64,5.4,28.4,2
A Kuruvilla (India),India,1997-1997,25,25,1131,890,25,35.6,4.72,45.2,0
AR White (Ire),Ireland,2006-2012,56,34,845,664,25,26.56,4.71,33.8,0
D Langford-Smith (Ire),Ireland,2006-2008,22,21,942,797,25,31.88,5.07,37.6,0
Mohammad Amir (Pak),Pakistan,2009-2010,15,15,789,600,25,24,4.56,31.5,0
GD Drummond (Scot),Scotland,2007-2013,28,27,1191,854,25,34.16,4.3,47.6,0
DN Crookes (SA),South Africa,1994-2000,32,30,1221,1011,25,40.44,4.96,48.8,0
KIW Wijegunawardene (SL),Sri Lanka,1988-1992,26,25,1186,986,25,39.44,4.98,47.4,0
Alok Kapali (Ban),Bangladesh,2002-2011,69,49,1452,1255,24,52.29,5.18,60.5,0
Manjural Islam (Ban),Bangladesh,1999-2003,34,34,1591,1284,24,53.5,4.84,66.2,0
PW Jarvis (Eng),England,1988-1993,16,16,879,672,24,28,4.58,36.6,1
JK Lever (Eng),England,1976-1982,22,22,1152,713,24,29.7,3.71,48,0
ID Blackwell (Eng),England,2002-2006,34,26,1230,877,24,36.54,4.27,51.2,0
MS Panesar (Eng),England,2007-2007,26,26,1308,980,24,40.83,4.49,54.5,0
RC Irani (Eng),England,1996-2003,31,30,1283,989,24,41.2,4.62,53.4,1
SR Patel (Eng),England,2008-2013,36,32,1187,1091,24,45.45,5.51,49.4,1
Harvinder Singh (India),India,1997-2001,16,16,686,609,24,25.37,5.32,28.5,0
LN Onyango (Kenya),Kenya,1996-2011,28,27,935,931,24,38.79,5.97,38.9,0
MBS Jonkman (Neth),Netherlands,2006-2010,16,16,719,565,24,23.54,4.71,29.9,0
KR Pushpakumara (SL),Sri Lanka,1994-1999,31,31,1430,1181,24,49.2,4.95,59.5,0
TG Hogan (Aus),Australia,1983-1984,16,15,917,574,23,24.95,3.75,39.8,0
Manjural Islam Rana (Ban),Bangladesh,2003-2006,25,23,996,689,23,29.95,4.15,43.3,0
S Mukuddem (Ber),Bermuda,2006-2007,20,20,960,752,23,32.69,4.7,41.7,0
KAD Hurdle (Ber),Bermuda,2006-2007,19,19,905,831,23,36.13,5.5,39.3,0
